,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
24,47098,443,3459105855,125766937,8,502,31397,"(2243123837, 3389147193)",0
25,443,47098,125766937,3459106136,8,2115,17010,"(3389147390, 2243123837)",0
26,80,51766,3217765403,1556833607,8,2082,40071,"(4099437472, 2243123837)",2
27,51766,80,1556833607,3217765404,8,501,41442,"(2243124047, 4099437472)",4
28,47098,443,3459106136,125767106,8,501,5302,"(2243124088, 3389147390)",0
29,42946,443,269089547,757226797,8,3020,45539,"(2931576412, 3217300977)",1
30,443,42946,757226797,269089764,8,8554,3776,"(3217301395, 2931576412)",1
31,443,42946,757226797,269089764,8,8554,6926,"(3217301395, 2931576412)",1
32,42946,443,269089764,757226950,8,3040,8957,"(2931576592, 3217301395)",1
33,42946,443,269089764,757226950,8,3040,10925,"(2931576595, 3217301395)",1
34,443,42946,757226950,269089764,8,8554,45900,"(3217301404, 2931576412)",1
35,42946,443,269090093,757227039,8,3040,8483,"(2931576639, 3217301404)",1
36,443,42946,757227039,269090093,8,8644,5834,"(3217301448, 2931576595)",1
37,42946,443,269090093,757227272,8,3059,8032,"(2931576794, 3217301448)",1
38,443,42946,757227272,269090093,8,8644,14959,"(3217301586, 2931576794)",1
39,42946,443,269090093,757227377,8,3059,7174,"(2931577409, 3217301586)",1
40,443,42946,757227377,269090093,8,8644,23665,"(3217301671, 2931577409)",1
41,42946,443,269090093,757227482,8,3059,6774,"(2931577619, 3217301671)",1
42,42946,443,269090093,757227482,8,3059,2955,"(2931578842, 3217301671)",1
43,443,42946,757227482,269090406,8,8735,64753,"(3217302015, 2931578842)",1
44,443,42946,757227482,269090406,8,8735,37578,"(3217302016, 2931578842)",1
45,42946,443,269090406,757227587,8,3059,4572,"(2931579058, 3217302016)",1
46,42946,443,269090406,757227587,8,3059,14952,"(2931579499, 3217302016)",1
47,42946,443,269090543,757227587,8,3059,43537,"(2931579927, 3217302016)",1
48,443,42946,757227587,269090543,8,8825,63610,"(3217302169, 2931579499)",1
49,443,42946,757227587,269090543,8,8825,64624,"(3217302175, 2931579499)",1
50,42946,443,269090856,757227676,8,3059,2655,"(2931580277, 3217302175)",1
51,443,42946,757227676,269090856,8,8916,15043,"(3217302279, 2931579927)",1
52,42946,443,269090856,757227765,8,3059,2462,"(2931580277, 3217302279)",1
53,443,42946,757227676,269090856,8,8916,15014,"(3217302308, 2931579927)",1
54,42946,443,269090856,757227765,11,3059,46995,"(2931580277, 3217302308)",1
55,42946,443,269090856,757227765,8,3059,10065,"(2931580385, 3217302308)",1
56,443,42946,757227765,269091057,8,9006,9140,"(3217302395, 2931580385)",1
57,42946,443,269091057,757227870,8,3059,1632,"(2931580685, 3217302395)",1
58,39250,434,3123600633,3294936162,8,501,7512,"(2733252365, 2978942508)",0
59,434,39250,3294936162,3123600714,8,320,62680,"(2978950019, 2733252365)",1
60,434,39250,3294936162,3123600714,8,320,52346,"(2978950032, 2733252365)",1
61,39250,434,3123600714,3294936226,8,501,62297,"(2733252490, 2978950032)",0
62,434,37556,3834628270,2345675357,8,432,60746,"(2978950689, 2733230205)",2
63,37556,434,2345675357,3834628984,8,501,8015,"(2733255148, 2978950689)",1
