,sport,dport,seq,ask,dataofs,window,chksum,timestamp,class2
392,434,47982,4045168133,488877822,8,244,12070,"(229392118, 1538470469)",0
393,56328,434,2040852774,3510782186,8,502,17514,"(1538470543, 229392117)",1
394,47982,434,488880630,4045182613,8,434,34761,"(1538470544, 229392118)",0
395,434,56344,1182856675,3520983948,10,28960,9763,"(229392119, 1538470477)",2
396,56344,434,3520983948,1182856676,8,502,50132,"(1538470546, 229392119)",1
397,434,56360,1262881883,955686185,10,28960,64027,"(229392120, 1538470481)",2
398,56360,434,955686185,1262881884,8,502,38865,"(1538470546, 229392120)",2
399,56344,434,3520983948,1182856676,8,502,48865,"(1538470551, 229392119)",1
400,56360,434,955686185,1262881884,8,502,42175,"(1538470553, 229392120)",2
401,434,47982,4045182613,488878383,8,269,37235,"(229392121, 1538470479)",0
402,434,56364,1641814469,1854438373,10,28960,49602,"(229392121, 1538470487)",2
403,56364,434,1854438373,1641814470,8,502,24437,"(1538470555, 229392121)",2
404,56364,434,1854438373,1641814470,8,502,21954,"(1538470558, 229392121)",2
405,434,56372,2259632877,2869296791,10,28960,46214,"(229392123, 1538470494)",2
406,56372,434,2869296791,2259632878,8,502,21043,"(1538470568, 229392123)",1
407,434,47982,4045182613,488878754,8,286,36826,"(229392124, 1538470497)",0
408,434,56376,2165483947,1997082338,10,28960,30476,"(229392124, 1538470500)",2
409,56376,434,1997082338,2165483948,8,502,5311,"(1538470568, 229392124)",1
410,434,47982,4045182613,488879128,8,304,36427,"(229392125, 1538470503)",0
411,56372,434,2869296791,2259632878,8,502,61748,"(1538470572, 229392123)",1
412,47930,434,1806840723,1719670142,8,501,3057,"(1538470572, 229391451)",0
413,47930,434,1806840808,1719670142,8,501,8806,"(1538470572, 229391451)",0
414,56376,434,1997082338,2165483948,8,502,26068,"(1538470575, 229392124)",1
415,47930,434,1806840996,1719670142,8,501,33739,"(1538470575, 229391451)",0
416,47930,434,1806841081,1719670142,8,501,20640,"(1538470575, 229391451)",0
417,434,47982,4045182613,488880630,8,333,34884,"(229392133, 1538470507)",0
418,434,47982,4045182613,488880630,8,333,486,"(229392135, 1538470544)",0
419,47982,434,488880630,4045185509,8,496,31722,"(1538470608, 229392135)",0
420,434,47982,4045185509,488880630,8,333,23654,"(229392135, 1538470544)",0
421,47982,434,488880630,4045211573,8,372,5779,"(1538470611, 229392135)",0
422,47982,434,488880630,4045211573,8,372,62903,"(1538470611, 229392135)",0
423,434,56328,3510782186,2040853291,8,235,746,"(229392136, 1538470543)",2
424,56328,434,2040853291,3510785342,8,491,12825,"(1538470614, 229392136)",1
425,56328,434,2040853291,3510785342,8,501,42912,"(1538470618, 229392136)",1
426,434,56360,1262881884,955686702,8,235,746,"(229392138, 1538470553)",2
427,56360,434,955686702,1262885040,8,491,35110,"(1538470621, 229392138)",2
428,434,56344,1182856676,3520984465,8,235,746,"(229392138, 1538470551)",2
429,56344,434,3520984465,1182859832,8,491,46373,"(1538470624, 229392138)",1
430,434,56364,1641814470,1854438890,8,235,746,"(229392139, 1538470558)",2
431,56364,434,1854438890,1641817626,8,491,20688,"(1538470624, 229392139)",2
432,56360,434,955686702,1262885040,8,501,23956,"(1538470624, 229392138)",2
433,56344,434,3520984465,1182859832,8,501,49709,"(1538470628, 229392138)",1
